case,activity,time,
794,8,10/02/2012 01:39,
794,6,10/02/2012 01:46,
795,1,10/02/2012 01:46,
795,8,10/02/2012 01:54,
795,6,10/02/2012 01:55,
795,6,10/02/2012 02:05,
796,1,10/02/2012 17:17,
796,8,10/02/2012 17:59,
796,9,10/02/2012 17:59,
796,6,10/02/2012 18:51,
799,1,10/02/2012 18:55,
799,8,10/02/2012 19:01,
799,9,10/02/2012 19:20,
799,6,10/02/2012 19:21,
806,1,10/02/2012 19:28,
806,8,10/02/2012 19:54,
806,9,10/02/2012 21:06,
806,6,10/02/2012 23:01,
813,1,10/02/2012 23:18,
813,8,10/02/2012 23:19,
813,6,10/02/2012 23:32,
817,1,10/02/2012 23:33,
817,8,10/02/2012 23:44,
817,9,10/02/2012 23:47,
817,8,10/02/2012 23:47,
817,9,10/02/2012 23:52,
834,1,13/02/2012 17:07,
834,8,13/02/2012 17:08,
834,6,13/02/2012 17:38,
836,1,13/02/2012 17:39,
836,8,13/02/2012 17:59,
836,2,13/02/2012 18:00,
836,5,13/02/2012 18:15,
836,5,13/02/2012 18:19,
836,6,13/02/2012 18:45,
840,1,13/02/2012 18:45,
840,8,13/02/2012 18:57,
840,6,13/02/2012 19:11,
844,1,13/02/2012 19:23,
844,8,13/02/2012 20:31,
844,6,13/02/2012 20:32,
853,1,13/02/2012 20:42,
853,8,13/02/2012 23:10,
853,6,14/02/2012 00:04,
857,1,14/02/2012 00:04,
857,8,14/02/2012 00:04,
857,9,14/02/2012 00:11,
857,6,14/02/2012 00:14,
859,1,14/02/2012 00:29,
859,8,14/02/2012 00:30,
859,6,14/02/2012 17:59,
866,1,14/02/2012 19:07,
866,8,14/02/2012 19:21,
866,6,14/02/2012 19:22,
872,1,14/02/2012 19:25,
872,8,14/02/2012 19:29,
872,6,14/02/2012 19:34,
876,1,14/02/2012 20:05,
876,8,14/02/2012 20:20,
876,9,14/02/2012 20:32,
876,6,14/02/2012 20:48,
877,1,14/02/2012 20:48,
877,8,14/02/2012 20:51,
877,9,14/02/2012 20:55,
877,6,14/02/2012 21:00,
880,1,14/02/2012 21:01,
880,8,14/02/2012 21:01,
880,6,14/02/2012 22:24,
882,1,14/02/2012 23:41,
882,8,15/02/2012 00:08,
882,6,15/02/2012 01:28,
883,1,15/02/2012 01:37,
883,8,15/02/2012 01:38,
883,9,15/02/2012 01:45,
883,8,15/02/2012 01:45,
883,9,15/02/2012 18:15,
883,6,15/02/2012 18:18,
883,6,15/02/2012 18:20,
886,1,15/02/2012 18:20,
886,8,15/02/2012 18:30,
886,6,15/02/2012 18:34,
888,1,15/02/2012 18:35,
888,8,15/02/2012 19:07,
888,6,15/02/2012 20:07,
892,1,15/02/2012 20:19,
892,8,15/02/2012 20:25,
892,6,15/02/2012 20:29,
897,1,15/02/2012 20:48,
897,8,15/02/2012 22:06,
897,6,15/02/2012 22:06,
898,1,15/02/2012 23:06,
898,8,15/02/2012 23:22,
898,9,15/02/2012 23:25,
898,6,16/02/2012 01:18,
901,1,16/02/2012 01:40,
901,6,16/02/2012 01:40,
901,6,16/02/2012 01:43,
909,1,16/02/2012 01:43,
909,8,16/02/2012 01:48,
909,6,16/02/2012 18:27,
910,1,16/02/2012 18:27,
910,8,16/02/2012 19:41,
910,6,16/02/2012 19:41,
914,1,16/02/2012 19:45,
914,8,16/02/2012 19:45,
914,6,16/02/2012 19:46,
931,1,16/02/2012 20:19,
931,8,16/02/2012 20:40,
931,6,17/02/2012 01:04,
934,1,17/02/2012 01:13,
934,8,17/02/2012 01:21,
934,6,17/02/2012 01:49,
934,6,17/02/2012 17:02,
937,1,17/02/2012 17:25,
937,8,17/02/2012 17:37,
937,4,17/02/2012 17:38,
937,6,17/02/2012 17:40,
938,1,17/02/2012 17:40,
938,8,17/02/2012 17:50,
938,9,17/02/2012 18:01,
938,6,17/02/2012 18:07,
950,1,17/02/2012 18:23,
950,8,17/02/2012 18:36,
950,6,17/02/2012 18:40,
954,1,17/02/2012 22:09,
954,8,17/02/2012 23:33,
954,6,17/02/2012 23:43,
958,1,17/02/2012 23:45,
958,8,17/02/2012 23:57,
958,8,20/02/2012 17:07,
958,6,20/02/2012 17:07,
962,1,20/02/2012 17:47,
962,8,20/02/2012 18:28,
962,6,20/02/2012 18:29,
967,1,20/02/2012 18:32,
967,8,20/02/2012 19:03,
967,6,20/02/2012 19:26,
968,1,20/02/2012 19:32,
968,8,20/02/2012 19:40,
968,6,20/02/2012 20:45,
970,1,20/02/2012 22:44,
970,8,21/02/2012 01:53,
970,6,21/02/2012 01:53,
972,1,21/02/2012 02:03,
972,8,21/02/2012 17:33,
972,6,21/02/2012 19:40,
975,1,21/02/2012 20:15,
975,8,21/02/2012 20:15,
975,6,21/02/2012 23:56,
975,6,22/02/2012 00:27,
976,1,22/02/2012 00:27,
976,8,22/02/2012 00:27,
976,6,22/02/2012 00:30,
981,1,22/02/2012 00:31,
981,8,22/02/2012 01:04,
981,6,22/02/2012 01:10,
981,6,22/02/2012 01:35,
990,1,22/02/2012 02:00,
990,8,22/02/2012 02:07,
990,6,22/02/2012 17:38,
1009,1,22/02/2012 17:53,
1009,8,22/02/2012 17:57,
1009,9,22/02/2012 18:16,
1009,6,22/02/2012 18:29,
1015,1,22/02/2012 18:29,
1015,8,22/02/2012 18:46,
1015,6,22/02/2012 19:17,
1017,1,22/02/2012 20:12,
1017,8,22/02/2012 20:13,
1017,9,22/02/2012 20:30,
1017,6,22/02/2012 22:01,
1017,6,22/02/2012 22:04,
1020,1,22/02/2012 22:52,
1020,8,22/02/2012 22:53,
1020,9,22/02/2012 23:16,
1020,6,22/02/2012 23:21,
1022,1,22/02/2012 23:33,
1022,1,22/02/2012 23:33,
1022,8,22/02/2012 23:49,
1022,6,22/02/2012 23:49,
1029,1,23/02/2012 01:14,
1029,8,23/02/2012 01:23,
1029,6,23/02/2012 02:14,
1032,1,23/02/2012 18:45,
1032,8,23/02/2012 18:47,
1032,9,23/02/2012 19:06,
1032,6,23/02/2012 19:31,
1036,1,23/02/2012 19:43,
1036,8,23/02/2012 19:43,
1036,9,23/02/2012 19:46,
1036,8,23/02/2012 20:10,
1036,6,23/02/2012 20:36,
1038,1,23/02/2012 20:37,
1038,8,23/02/2012 22:21,
1038,6,23/02/2012 22:41,
1039,1,23/02/2012 22:43,
1039,8,23/02/2012 22:43,
1039,6,23/02/2012 23:58,
1040,1,24/02/2012 00:08,
1040,8,24/02/2012 00:47,
1040,6,24/02/2012 17:03,
1041,1,24/02/2012 17:03,
1041,8,24/02/2012 17:59,
1041,6,24/02/2012 17:59,
1042,1,24/02/2012 18:12,
1042,8,24/02/2012 18:15,
1042,6,24/02/2012 18:44,
1046,1,24/02/2012 19:31,
1046,8,24/02/2012 21:01,
1046,6,24/02/2012 21:05,
1049,1,24/02/2012 21:05,
1049,8,24/02/2012 22:54,
1049,6,24/02/2012 22:58,
1049,6,24/02/2012 23:02,
1055,1,24/02/2012 23:03,
1055,8,24/02/2012 23:42,
1055,6,24/02/2012 23:57,
1058,8,27/02/2012 17:10,
1058,9,27/02/2012 17:11,
1058,6,27/02/2012 17:20,
1059,1,27/02/2012 17:20,
1059,8,27/02/2012 18:09,
1059,6,27/02/2012 18:17,
1062,8,27/02/2012 18:17,
1062,9,27/02/2012 18:19,
1062,6,27/02/2012 18:28,
1063,1,27/02/2012 19:58,
1063,8,27/02/2012 20:50,
1063,6,27/02/2012 22:17,
1064,1,27/02/2012 22:20,
1064,8,27/02/2012 22:35,
1064,6,27/02/2012 22:35,
1066,1,27/02/2012 22:38,
1066,8,27/02/2012 22:38,
1066,6,27/02/2012 22:41,
1067,1,27/02/2012 23:02,
1067,8,28/02/2012 00:57,
1067,6,28/02/2012 01:27,
1068,1,28/02/2012 01:31,
1068,8,28/02/2012 17:52,
1068,6,28/02/2012 18:53,
1072,1,28/02/2012 19:24,
1072,1,28/02/2012 19:47,
1072,8,28/02/2012 19:47,
1072,6,28/02/2012 20:00,
1075,1,28/02/2012 20:28,
1075,8,28/02/2012 20:33,
1075,6,28/02/2012 21:13,
1076,1,28/02/2012 21:20,
1076,8,28/02/2012 22:58,
1076,9,29/02/2012 00:35,
1076,6,29/02/2012 00:38,
1083,1,29/02/2012 00:51,
1083,1,29/02/2012 01:02,
1083,8,29/02/2012 01:02,
1083,6,29/02/2012 01:03,
1084,1,29/02/2012 01:14,
1084,8,29/02/2012 01:40,
1084,6,29/02/2012 01:46,
1086,1,29/02/2012 01:55,
1086,8,29/02/2012 01:56,
1086,6,29/02/2012 02:09,
1090,1,29/02/2012 02:09,
1090,8,29/02/2012 02:12,
1090,6,29/02/2012 02:16,
1090,6,29/02/2012 02:20,
1092,1,29/02/2012 02:21,
1092,6,29/02/2012 02:22,
1094,1,29/02/2012 17:23,
1094,8,29/02/2012 17:25,
1094,6,29/02/2012 17:25,
1101,1,29/02/2012 17:30,
1101,8,29/02/2012 17:48,
1101,6,29/02/2012 18:09,
1102,1,29/02/2012 18:20,
1102,8,29/02/2012 18:36,
1102,6,29/02/2012 18:58,
1102,6,29/02/2012 18:59,
1103,1,29/02/2012 19:00,
1103,8,29/02/2012 19:00,
1103,6,29/02/2012 19:17,
1106,1,29/02/2012 19:21,
1106,8,29/02/2012 19:41,
1106,6,29/02/2012 19:44,
1112,1,29/02/2012 19:44,
1112,8,29/02/2012 20:15,
1112,9,29/02/2012 20:19,
1112,9,29/02/2012 20:35,
1112,6,29/02/2012 22:57,
1115,1,29/02/2012 22:58,
1115,8,01/03/2012 00:31,
1115,6,01/03/2012 00:31,
1116,1,01/03/2012 00:33,
1116,8,01/03/2012 00:50,
1116,6,01/03/2012 17:12,
1120,1,01/03/2012 17:13,
1120,8,01/03/2012 18:20,
1120,6,01/03/2012 19:51,
1122,1,01/03/2012 20:11,
1122,8,01/03/2012 20:33,
1122,6,01/03/2012 21:06,
1125,1,01/03/2012 21:06,
1125,8,01/03/2012 22:23,
1125,6,02/03/2012 01:21,
1126,1,02/03/2012 01:45,
1126,6,02/03/2012 01:56,
1126,6,02/03/2012 16:57,
1127,1,02/03/2012 17:06,
1127,8,02/03/2012 17:51,
1127,6,02/03/2012 18:06,
1128,1,02/03/2012 18:13,
1128,8,02/03/2012 18:13,
1128,6,02/03/2012 18:27,
1132,1,02/03/2012 18:27,
1132,8,02/03/2012 18:34,
1132,6,02/03/2012 19:21,
1133,1,02/03/2012 19:21,
1133,8,02/03/2012 19:36,
1133,6,02/03/2012 19:40,
1134,1,02/03/2012 19:51,
1134,8,02/03/2012 19:56,
1134,6,02/03/2012 20:14,
1135,1,02/03/2012 22:35,
1135,8,02/03/2012 22:39,
1135,4,02/03/2012 22:49,
1135,6,02/03/2012 22:52,
1136,1,02/03/2012 23:21,
1136,6,02/03/2012 23:22,
1137,1,02/03/2012 23:48,
1137,8,02/03/2012 23:50,
1137,6,05/03/2012 17:10,
1138,1,05/03/2012 17:16,
1138,8,05/03/2012 17:19,
1138,6,05/03/2012 17:32,
1143,1,05/03/2012 18:18,
1143,8,05/03/2012 18:24,
1143,6,05/03/2012 18:43,
1153,1,05/03/2012 18:45,
1153,8,05/03/2012 19:08,
1153,9,05/03/2012 19:14,
1153,6,05/03/2012 20:28,
1154,1,05/03/2012 20:31,
1154,9,05/03/2012 20:55,
1154,8,05/03/2012 20:59,
1154,6,05/03/2012 22:29,
1154,6,05/03/2012 22:31,
1161,1,05/03/2012 22:42,
1161,8,05/03/2012 22:50,
1161,6,05/03/2012 23:00,
1169,1,05/03/2012 23:07,
1169,6,05/03/2012 23:42,
1172,1,05/03/2012 23:58,
1172,8,06/03/2012 00:30,
1172,9,06/03/2012 00:33,
1172,6,06/03/2012 01:52,
1175,1,06/03/2012 01:52,
1175,8,06/03/2012 17:17,
1175,6,06/03/2012 17:21,
1175,8,06/03/2012 17:24,
1175,6,06/03/2012 17:40,
1181,1,06/03/2012 17:43,
1181,8,06/03/2012 17:43,
1181,6,06/03/2012 17:45,
1185,1,06/03/2012 18:26,
1185,8,06/03/2012 18:41,
1185,6,06/03/2012 18:42,
1187,1,06/03/2012 18:51,
1187,8,06/03/2012 18:53,
1187,6,06/03/2012 19:26,
1188,1,06/03/2012 19:38,
1188,8,06/03/2012 19:38,
1188,6,06/03/2012 20:18,
1190,1,06/03/2012 20:21,
1190,8,06/03/2012 20:27,
1190,6,06/03/2012 20:37,
1190,6,06/03/2012 20:46,
1192,8,06/03/2012 20:51,
1192,6,06/03/2012 20:51,
1195,1,06/03/2012 22:39,
1195,8,06/03/2012 22:39,
1195,6,06/03/2012 23:07,
1199,1,07/03/2012 00:41,
1199,8,07/03/2012 01:31,
1199,6,07/03/2012 01:38,
1201,1,07/03/2012 01:51,
1201,8,07/03/2012 01:52,
1201,6,07/03/2012 01:53,
1208,1,07/03/2012 01:54,
1208,8,07/03/2012 01:54,
1208,6,07/03/2012 01:54,
1215,1,07/03/2012 01:55,
1215,8,07/03/2012 02:04,
1215,6,07/03/2012 17:31,
1216,1,07/03/2012 17:32,
1216,8,07/03/2012 18:08,
1216,6,07/03/2012 18:14,
1217,1,07/03/2012 18:15,
1217,8,07/03/2012 19:56,
1217,6,07/03/2012 19:58,
1219,1,07/03/2012 20:00,
1219,8,07/03/2012 20:07,
1219,6,07/03/2012 20:24,
1229,1,07/03/2012 20:28,
1229,8,07/03/2012 22:41,
1229,6,08/03/2012 01:24,
1230,1,08/03/2012 01:47,
1230,8,08/03/2012 01:56,
1230,6,08/03/2012 01:56,
1233,1,08/03/2012 18:52,
1233,8,08/03/2012 19:51,
1233,6,08/03/2012 19:52,
1236,1,08/03/2012 20:09,
1236,8,08/03/2012 22:22,
1236,9,08/03/2012 22:25,
1236,6,08/03/2012 22:40,
1244,1,08/03/2012 22:40,
1244,8,08/03/2012 22:53,
1244,6,08/03/2012 22:54,
1251,1,08/03/2012 22:55,
1251,8,08/03/2012 23:18,
1251,9,08/03/2012 23:35,
1251,6,08/03/2012 23:35,
1256,1,08/03/2012 23:52,
1256,8,08/03/2012 23:59,
1256,9,09/03/2012 17:33,
1256,6,09/03/2012 19:39,
1262,1,09/03/2012 20:29,
1262,8,09/03/2012 20:40,
1262,6,09/03/2012 20:53,
1267,1,09/03/2012 20:56,
1267,8,09/03/2012 23:46,
1267,6,09/03/2012 23:48,
1271,1,09/03/2012 23:49,
1281,1,12/03/2012 17:18,
1281,8,12/03/2012 17:18,
1281,6,12/03/2012 17:50,
1281,6,12/03/2012 17:50,
1287,1,12/03/2012 18:57,
1287,8,12/03/2012 18:59,
1287,6,12/03/2012 19:09,
1293,1,12/03/2012 19:32,
1293,8,12/03/2012 19:34,
1293,6,12/03/2012 19:47,
1295,1,12/03/2012 19:57,
1295,8,12/03/2012 19:58,
1295,6,12/03/2012 20:01,
1311,1,12/03/2012 20:02,
1311,8,12/03/2012 20:23,
1311,6,12/03/2012 22:28,
1313,1,12/03/2012 22:31,
1313,8,12/03/2012 22:49,
1313,6,12/03/2012 23:53,
1316,1,12/03/2012 23:57,
1316,8,13/03/2012 00:06,
1316,6,13/03/2012 16:59,
1317,1,13/03/2012 16:59,
1317,6,13/03/2012 17:10,
1320,1,13/03/2012 18:47,
1320,8,13/03/2012 18:48,
1320,6,13/03/2012 18:50,
1321,1,13/03/2012 18:50,
1321,8,13/03/2012 19:51,
1321,9,13/03/2012 20:08,
1321,6,13/03/2012 20:08,
1325,1,13/03/2012 20:12,
1325,6,13/03/2012 20:24,
1327,1,13/03/2012 23:16,
1327,9,13/03/2012 23:17,
1327,6,13/03/2012 23:52,
1329,1,13/03/2012 23:54,
1329,8,13/03/2012 23:58,
1329,6,14/03/2012 01:26,
1330,1,14/03/2012 01:44,
1330,6,14/03/2012 02:53,
1330,6,14/03/2012 17:38,
1332,1,14/03/2012 17:38,
1332,8,14/03/2012 18:45,
1332,6,14/03/2012 19:36,
1334,1,14/03/2012 19:48,
1334,1,14/03/2012 19:49,
1334,8,14/03/2012 19:50,
1334,9,14/03/2012 19:55,
1334,6,14/03/2012 20:17,
1336,1,14/03/2012 20:32,
1336,8,14/03/2012 20:32,
1336,6,14/03/2012 22:26,
1336,6,14/03/2012 22:26,
1338,1,14/03/2012 22:27,
1338,6,14/03/2012 22:40,
1343,1,14/03/2012 23:35,
1343,8,15/03/2012 00:47,
1343,9,15/03/2012 01:36,
1343,6,15/03/2012 17:10,
1344,1,15/03/2012 17:12,
1344,8,15/03/2012 22:22,
1344,6,15/03/2012 22:23,
1350,1,15/03/2012 22:24,
1350,8,15/03/2012 22:28,
1350,9,15/03/2012 22:30,
1350,6,15/03/2012 22:33,
1354,1,15/03/2012 23:16,
1354,8,15/03/2012 23:16,
1354,9,16/03/2012 00:38,
1354,6,16/03/2012 00:38,
1355,1,16/03/2012 00:39,
1355,8,16/03/2012 00:58,
1355,6,16/03/2012 01:00,
1356,1,16/03/2012 01:03,
1356,8,16/03/2012 17:13,
1356,6,16/03/2012 17:13,
1363,1,16/03/2012 20:21,
1363,8,16/03/2012 20:30,
1363,6,16/03/2012 22:08,
1365,3,16/03/2012 22:08,
1365,8,16/03/2012 22:13,
1365,6,16/03/2012 22:43,
1368,1,16/03/2012 22:58,
1368,6,16/03/2012 23:51,
1401,9,19/03/2012 17:26,
1401,6,19/03/2012 17:26,
1405,1,19/03/2012 17:29,
1405,8,19/03/2012 17:34,
1405,6,19/03/2012 17:47,
1412,1,19/03/2012 19:11,
1412,8,19/03/2012 19:13,
1412,6,19/03/2012 19:13,
1415,1,19/03/2012 19:18,
1415,8,19/03/2012 19:50,
1415,6,19/03/2012 20:09,
1416,1,19/03/2012 20:18,
1416,8,19/03/2012 22:26,
1416,6,19/03/2012 23:09,
1417,1,19/03/2012 23:15,
1417,8,19/03/2012 23:15,
1417,6,19/03/2012 23:51,
1418,1,19/03/2012 23:57,
1418,8,20/03/2012 00:20,
1418,6,20/03/2012 00:21,
1423,1,20/03/2012 00:35,
1423,8,20/03/2012 00:38,
1423,9,20/03/2012 00:53,
1423,6,20/03/2012 00:53,
1427,1,20/03/2012 01:55,
1427,8,20/03/2012 16:57,
1427,6,20/03/2012 16:58,
1437,1,20/03/2012 17:18,
1437,8,20/03/2012 17:19,
1437,6,20/03/2012 17:19,
1444,1,20/03/2012 17:26,
1444,8,20/03/2012 17:53,
1444,6,20/03/2012 18:52,
1447,1,20/03/2012 19:08,
1447,8,20/03/2012 19:10,
1447,6,20/03/2012 19:54,
1448,1,20/03/2012 20:05,
1448,8,20/03/2012 20:05,
1448,9,20/03/2012 20:11,
1448,6,20/03/2012 20:21,
1459,1,20/03/2012 20:27,
1459,8,20/03/2012 20:39,
1459,6,20/03/2012 20:42,
1462,1,20/03/2012 20:45,
1462,8,20/03/2012 20:45,
1462,9,20/03/2012 20:48,
1462,6,20/03/2012 22:19,
1466,1,20/03/2012 22:47,
1466,8,20/03/2012 22:54,
1466,6,20/03/2012 23:01,
1467,1,20/03/2012 23:03,
1467,8,20/03/2012 23:04,
1467,6,20/03/2012 23:22,
1475,1,20/03/2012 23:22,
1475,8,20/03/2012 23:30,
1475,9,20/03/2012 23:44,
1475,8,20/03/2012 23:44,
1475,6,21/03/2012 00:19,
1483,1,21/03/2012 00:58,
1483,8,21/03/2012 01:01,
1483,6,21/03/2012 01:05,
1486,1,21/03/2012 01:05,
1486,8,21/03/2012 01:22,
1486,6,21/03/2012 01:23,
1488,1,21/03/2012 01:37,
1488,8,21/03/2012 17:04,
1488,6,21/03/2012 17:34,
1489,1,21/03/2012 17:35,
1489,8,21/03/2012 19:10,
1489,6,21/03/2012 19:31,
1493,1,21/03/2012 19:34,
1493,8,21/03/2012 19:50,
1493,6,21/03/2012 20:22,
1497,1,21/03/2012 20:25,
1497,6,21/03/2012 20:55,
1497,6,21/03/2012 22:26,
1500,1,21/03/2012 22:39,
1500,6,21/03/2012 22:39,
1500,6,21/03/2012 22:43,
1503,1,21/03/2012 23:09,
1503,8,21/03/2012 23:12,
1503,6,21/03/2012 23:50,
1505,1,22/03/2012 00:22,
1505,8,22/03/2012 00:23,
1505,6,22/03/2012 00:23,
1508,1,22/03/2012 01:23,
1508,8,22/03/2012 01:26,
1508,6,22/03/2012 01:26,
1520,1,22/03/2012 01:34,
1520,8,22/03/2012 01:34,
1520,6,22/03/2012 01:42,
1521,1,22/03/2012 01:48,
1521,8,22/03/2012 17:44,
1521,6,22/03/2012 17:46,
1526,1,22/03/2012 17:48,
1526,8,22/03/2012 17:55,
1526,9,22/03/2012 18:36,
1526,6,22/03/2012 18:53,
1531,1,22/03/2012 19:24,
1531,8,22/03/2012 20:09,
1531,6,22/03/2012 20:09,
1536,1,22/03/2012 20:22,
1536,8,22/03/2012 20:24,
1536,6,22/03/2012 20:25,
1537,1,22/03/2012 21:19,
1537,8,22/03/2012 22:09,
1537,9,22/03/2012 22:12,
1537,6,22/03/2012 22:21,
1548,1,22/03/2012 22:24,
1548,8,22/03/2012 22:32,
1548,6,22/03/2012 23:31,
1552,1,22/03/2012 23:36,
1552,8,22/03/2012 23:47,
1552,6,23/03/2012 01:03,
1555,1,23/03/2012 01:35,
1555,8,23/03/2012 01:45,
1555,6,23/03/2012 02:00,
1559,1,23/03/2012 17:04,
1559,8,23/03/2012 17:35,
1559,6,23/03/2012 18:44,
1559,6,23/03/2012 18:57,
1564,1,23/03/2012 18:57,
1564,8,23/03/2012 19:04,
1564,6,23/03/2012 20:03,
1566,1,23/03/2012 20:03,
1566,8,23/03/2012 22:49,
1566,6,23/03/2012 23:27,
1569,1,23/03/2012 23:44,
1569,8,23/03/2012 23:44,
1587,9,26/03/2012 15:01,
1587,6,26/03/2012 15:27,
1588,1,26/03/2012 15:57,
1588,8,26/03/2012 16:32,
1588,6,26/03/2012 16:58,
1591,1,26/03/2012 18:31,
1591,8,26/03/2012 18:38,
1591,6,26/03/2012 18:38,
1592,1,26/03/2012 19:55,
1592,8,26/03/2012 20:58,
1592,9,26/03/2012 21:15,
1592,6,26/03/2012 21:33,
1596,1,26/03/2012 21:57,
1596,8,26/03/2012 22:09,
1596,6,26/03/2012 23:15,
1598,1,26/03/2012 23:17,
1598,8,26/03/2012 23:25,
1598,6,26/03/2012 23:59,
1598,6,27/03/2012 00:00,
1599,1,27/03/2012 15:52,
1599,8,27/03/2012 16:01,
1599,6,27/03/2012 16:41,
